TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R
0.00072	-0.00673617	0.00072	-0.00254896	0.00072	0.00260452
0.000722	0.00131615	0.000722	-0.00319315	0.000722	0.00324871
0.000724	-0.000938497	0.000724	-0.00222687	0.000724	0.00292662
0.000726	-0.00254896	0.000726	-0.00254896	0.000726	0.00260452
0.000728	-0.00254896	0.000728	-0.00254896	0.000728	0.00228243
0.00073	0.00163824	0.00073	-0.00254896	0.00073	0.00196034
0.000732	0.000994059	0.000732	-0.00287105	0.000732	0.00389289
0.000734	-0.00383733	0.000734	-0.00190477	0.000734	0.00260452
0.000736	-0.00287105	0.000736	-0.00190477	0.000736	0.00228243
0.000738	-0.000294312	0.000738	-0.00190477	0.000738	0.00228243
0.00074	-0.00222687	0.00074	-0.00222687	0.00074	0.00196034
0.000742	-0.00351524	0.000742	-0.00254896	0.000742	0.00292662
0.000744	-0.000938497	0.000744	-0.00222687	0.000744	0.00292662
0.000746	-0.000938497	0.000746	-0.00158268	0.000746	0.00389289
0.000748	-0.00319315	0.000748	-0.00222687	0.000748	0.00196034
0.00075	-0.000938497	0.00075	-0.00158268	0.00075	0.00324871
0.000752	0.000671966	0.000752	-0.00254896	0.000752	0.00292662
0.000754	0.00131615	0.000754	-0.00222687	0.000754	0.00292662
0.000756	-0.00351524	0.000756	-0.00158268	0.000756	0.00292662
0.000758	-0.00254896	0.000758	-0.00222687	0.000758	0.00292662
0.00076	0.000349874	0.00076	-0.00190477	0.00076	0.00163824
0.000762	-0.00383733	0.000762	-0.00254896	0.000762	0.00260452
0.000764	-0.00319315	0.000764	-0.00190477	0.000764	0.00389289
0.000766	0.00421499	0.000766	-0.00254896	0.000766	0.00228243
0.000768	-0.000938497	0.000768	-0.00190477	0.000768	0.00292662
0.00077	-0.00415942	0.00077	-0.00190477	0.00077	0.00292662
0.000772	-0.000938497	0.000772	-0.00222687	0.000772	0.00228243
0.000774	0.000994059	0.000774	-0.00254896	0.000774	0.00324871
0.000776	-0.00126059	0.000776	-0.00222687	0.000776	0.00260452
0.000778	-0.00287105	0.000778	-0.00222687	0.000778	0.00228243
0.00078	2.78E-05	0.00078	-0.00190477	0.00078	0.00228243
0.000782	0.00131615	0.000782	-0.00287105	0.000782	0.00324871
0.000784	-0.00415942	0.000784	-0.00190477	0.000784	0.00228243
0.000786	-0.00254896	0.000786	-0.00190477	0.000786	0.00260452
0.000788	-0.000294312	0.000788	-0.00190477	0.000788	0.00324871
0.00079	-0.00158268	0.00079	-0.00222687	0.00079	0.00228243
