TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R
0.000778	-0.000294312	0.000778	-0.00158268	0.000778	0.00196034
0.00078	-0.00415942	0.00078	-0.00222687	0.00078	2.78E-05
0.000782	-0.00158268	0.000782	-0.00222687	0.000782	0.000349874
0.000784	0.00453708	0.000784	-0.00222687	0.000784	2.78E-05
0.000786	-0.000938497	0.000786	-0.00158268	0.000786	0.000349874
0.000788	-0.00480361	0.000788	-0.00190477	0.000788	0.000671966
0.00079	0.00228243	0.00079	-0.00190477	0.00079	0.000671966
0.000792	0.000349874	0.000792	-0.00222687	0.000792	0.000671966
0.000794	-0.00222687	0.000794	-0.00222687	0.000794	0.000671966
0.000796	-0.000616404	0.000796	-0.00222687	0.000796	0.00163824
0.000798	0.00485917	0.000798	-0.00287105	0.000798	0.000349874
0.0008	0.000671966	0.0008	-0.00222687	0.0008	0.000349874
0.000802	-0.000938497	0.000802	-0.00190477	0.000802	0.000671966
0.000804	-0.000294312	0.000804	-0.00190477	0.000804	0.00131615
0.000806	0.00292662	0.000806	-0.00287105	0.000806	0.000349874
