TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R		
0.000494	0.000349874	0.000494	2.78E-05	0.000494	-0.00254896
0.000496	0.000349874	0.000496	-0.00448152	0.000496	-0.00222687
0.000498	-0.000294312	0.000498	-0.00770244	0.000498	-0.00254896
0.0005	-0.000938497	0.0005	-0.0115676	0.0005	-0.00254896
0.000502	-0.00126059	0.000502	-0.0141443	0.000502	-0.00254896
0.000504	-0.00222687	0.000504	-0.016721	0.000504	-0.00254896
0.000506	-0.00254896	0.000506	-0.0183315	0.000506	-0.00158268
0.000508	-0.00126059	0.000508	-0.0189757	0.000508	-0.00190477
0.00051	-0.00158268	0.00051	-0.0196199	0.00051	-0.00126059
0.000512	-0.00126059	0.000512	-0.0196199	0.000512	-0.000616404
0.000514	-0.00254896	0.000514	-0.0183315	0.000514	-0.000294312
0.000516	-0.00222687	0.000516	-0.016721	0.000516	-0.000938497
0.000518	-0.00222687	0.000518	-0.0144664	0.000518	0.000349874
0.00052	-0.00448152	0.00052	-0.0122117	0.00052	0.000349874
0.000522	-0.000616404	0.000522	-0.00834663	0.000522	0.000671966
0.000524	-0.00319315	0.000524	-0.00576989	0.000524	0.000349874
0.000526	-0.00448152	0.000526	-0.00287105	0.000526	0.00131615
0.000528	-0.0051257	0.000528	-0.000294312	0.000528	0.000994059
0.00053	-0.00222687	0.00053	0.00292662	0.00053	0.000349874
0.000532	-0.00319315	0.000532	0.00453708	0.000532	2.78E-05
0.000534	-0.00287105	0.000534	0.00614754	0.000534	2.78E-05
0.000536	-0.00222687	0.000536	0.0080801	0.000536	2.78E-05
0.000538	-0.000938497	0.000538	0.00904638	0.000538	0.000349874
0.00054	-0.00158268	0.00054	0.00969056	0.00054	-0.000294312
0.000542	-0.00190477	0.000542	0.0103347	0.000542	-0.000616404
0.000544	-0.00319315	0.000544	0.00969056	0.000544	-0.000938497
0.000546	0.000349874	0.000546	0.00904638	0.000546	-0.00126059
0.000548	-0.000294312	0.000548	0.00743591	0.000548	-0.00158268
0.00055	-0.00190477	0.00055	0.00582545	0.00055	-0.00222687
0.000552	-0.000294312	0.000552	0.00389289	0.000552	-0.00158268
0.000554	-0.00158268	0.000554	0.00228243	0.000554	-0.00190477
0.000556	-0.000294312	0.000556	-0.000294312	0.000556	-0.00126059
0.000558	-0.000616404	0.000558	-0.00222687	0.000558	-0.00158268
